name,year_founded,industry,locality,country,current_employee_estimate
nexity,,real estate,"paris, île-de-france, france",france,2457
daimler trucks north america,1942,transportation/trucking/railroad,"portland, oregon, united states",united states,2457
itron,1977,utilities,"liberty lake, washington, united states",united states,2457
kettering health network,1964,hospital & health care,"kettering, ohio, united states",united states,2456
maersk oil,,oil & energy,"copenhagen, capital region, denmark",denmark,2456
lawrence berkeley national laboratory,1931,research,"berkeley, california, united states",united states,2456
nfu mutual,1910,insurance,"warwickshire, warwickshire, united kingdom",united kingdom,2455
randstad technologies us,1984,staffing and recruiting,"woburn, massachusetts, united states",united states,2455
packaging corporation of america,1959,packaging and containers,"lake forest, illinois, united states",united states,2455
work from home,,writing and editing,,,2455
cleveland state university,1964,higher education,"cleveland, ohio, united states",united states,2454
rgp,1996,management consulting,"irvine, california, united states",united states,2454
paramount pictures,1912,entertainment,"new york, new york, united states",united states,2454
northumbria university,,higher education,"tyne and wear, gateshead, united kingdom",united kingdom,2453
reed smith llp,1877,law practice,"pittsburgh, pennsylvania, united states",united states,2452
metro inc.,1947,retail,"montréal, quebec, canada",canada,2452
accenture brasil,,management consulting,"sao paulo, sao paulo, brazil",brazil,2452
skatteverket,,government administration,"solna, stockholm, sweden",sweden,2452
vice media,1994,publishing,"brooklyn, new york, united states",united states,2452
brp,2003,consumer goods,"valcourt, quebec, canada",canada,2451
overheid,,public safety,,,2451
chep,1945,logistics and supply chain,"orlando, florida, united states",united states,2451
swatch group,1983,luxury goods & jewelry,"biel, bern, switzerland",switzerland,2451
radisson blu,,hospitality,,,2451
ied istituto europeo di design,1966,higher education,"milan, milan, italy",italy,2450
usda-nrcs,,environmental services,,,2449
the university of iowa health care,1904,hospital & health care,"iowa city, iowa, united states",united states,2448
ortho clinical diagnostics,,medical devices,"raritan, new jersey, united states",united states,2448
nagarro,1996,information technology and services,"san jose, california, united states",united states,2448
"ministère de l'éducation nationale, de la jeunesse et de la vie associative",,government administration,,,2448
utah valley university,1941,higher education,"orem, utah, united states",united states,2448
exterran,1954,oil & energy,"houston, texas, united states",united states,2447
southern methodist university,1911,higher education,"dallas, texas, united states",united states,2447
medgaz,,information technology and services,,,2447
university of wollongong,1975,higher education,"wollongong, new south wales, australia",australia,2447
maersk global service centres,1999,outsourcing/offshoring,"copenhagen, capital region, denmark",denmark,2446
panasonic avionics corporation,1979,aviation & aerospace,"lake forest, california, united states",united states,2446
moss adams llp,1913,accounting,"seattle, washington, united states",united states,2446
imperial college healthcare nhs trust,1823,hospital & health care,"london, greater london, united kingdom",united kingdom,2446
university of north carolina,,higher education,"chapel hill, north carolina, united states",united states,2445
nada,1917,automotive,"mclean, virginia, united states",united states,2445
"bemis company, inc.",1858,packaging and containers,"neenah, wisconsin, united states",united states,2444
tampa general hospital,,hospital & health care,"tampa, florida, united states",united states,2444
los angeles county,1994,government administration,"los angeles, california, united states",united states,2443
woodside energy,1954,oil & energy,"perth, western australia, australia",australia,2443
abu dhabi islamic bank,1997,banking,,,2443
chevron phillips chemical company,2000,chemicals,"spring, texas, united states",united states,2443
politecnico di milano,1863,research,"milano, lombardy, italy",italy,2442
harbor freight tools,1977,retail,"calabasas, california, united states",united states,2442
phd,1990,marketing and advertising,"london, greater london, united kingdom",united kingdom,2441
tibco software inc.,1997,computer software,"palo alto, california, united states",united states,2440
claro chile s.a.,,telecommunications,,,2440
walden university,1970,higher education,,united states,2439
law office,,legal services,"brookfield, wisconsin, united states",united states,2438
bsh home appliances group,1967,consumer goods,"munich, bavaria, germany",germany,2438
kpmg france,,accounting,"la defense, hauts-de-seine, france",france,2437
megafon,2002,telecommunications,"moscow, moscow, russia",russia,2437
hellmann worldwide logistics,1871,logistics and supply chain,"san diego, california, united states",germany,2436
americorps,1994,government administration,"washington, district of columbia, united states",united states,2436
rowan university,1923,higher education,"glassboro, new jersey, united states",united states,2436
university of hawaii at manoa,1907,higher education,"honolulu, hawaii, united states",united states,2435
children's hospital los angeles (chla),1901,hospital & health care,"los angeles, california, united states",united states,2434
disneyland paris,1992,entertainment,"chessy, ile-de-france, france",france,2434
kaplan university,,education management,"chicago, illinois, united states",united states,2434
lincoln property company,1965,real estate,"dallas, texas, united states",united states,2433
sescam,,medical practice,,,2433
university of colorado,1876,higher education,"denver, colorado, united states",united states,2433
lactalis,1933,dairy,"mayenne, pays de la loire, france",france,2432
pall corporation,1946,biotechnology,"port washington, new york, united states",united states,2432
the international baccalaureate,1968,education management,"bethesda, maryland, united states",united states,2432
austin community college,1973,higher education,"austin, texas, united states",united states,2431
monash health,1860,hospital & health care,"clayton, victoria, australia",australia,2431
qinetiq,,defense & space,"farnborough, hampshire, united kingdom",united kingdom,2430
telfort,1995,telecommunications,"venray, limburg, netherlands",netherlands,2430
vca,1986,veterinary,"los angeles, california, united states",united states,2430
district school board of pasco county,,education management,,,2429
motion industries,,industrial automation,"birmingham, alabama, united states",united states,2429
cox automotive inc.,,automotive,"atlanta, georgia, united states",united states,2428
